Programa estratégico,Sistema productivo,Área temática,Nombre del proyecto,Investigador líder,Rol CI Palmira,Institución ejecutora,Aliados estratégicos,Rol del aliado,Problema abordado,Objetivo del proyecto,Justificación estratégica,Política pública asociada,Metodología principal,Variables evaluadas,"Tipo de intervención (I+D+i, Canales OT, Fortalecimiento)",Resultados principales,Productos generados,Publicaciones,Oferta tecnológica,Tipo de tecnología,TRL inicial,TRL final,Estado tecnológico,Impacto técnico,Impacto económico,Impacto social,Impacto ambiental,Departamentos,Municipios,Tipo de beneficiarios,Beneficiarios directos,Beneficiarios indirectos,Área potenciales de adopción,Activos generados,Estado propiedad intelectual,Financiador,Monto del proyecto,Año inicio,Año final,Estado del proyecto,Capacidad_emergente,Capacidad_consolidada,Capacidad_distintiva
Bioeconomía: Prácticas de agricultura sostenible,Guayaba,Material de siembra y mejoramiento genético,"Ofertas varietales de guayaba generadas para Colombia con potencial productivo para el consumo fresco e industrial (Valle del Cauca, Santander, Boyacá, Meta, Eje Cafetero, Tolima y Caribe).",Eberto Rodríguez Henao,Líder,AGROSAVIA,NA,NA,Excasa oferta varietal de guayaba y bajo rendimiento y calidad de fruta para atender mercados nacionales y territoriales.,Ampliar la oferta varietal de guayaba con potencial productivo para la agroindustria en los principales núcleos productores de Colombia. ,"Ampliar la oferta varietal de guayaba mediante evaluación y mejoramiento de germoplasma para obtener cultivares regionales de alto rendimiento, calidad nutricional e industrial, fortaleciendo la base genética y productividad nacional.","PECTIA, MEC, MER.",Programa de mejoramiento genético de la guayaba en Colombia desarrollada por AGROSAVIA. ,"Grados Brix (superior 10,4); acidez (≤ 0.7); relación sólidos solubles acidez mayor a 11,7; color de pulpa roja, contenido de semilla menor de 4.0%, contenido de vitamina C, Rendimiento superior a 30 t/ha/año. Reacción a plagas y enfermedades. Fenología. Volumen de copa.",Investigación,Dos variedades de guayaba inscritas en el registro nacional de cultivares comerciales del ICA y su liberación para el valle geografico del río Cauca.,Variedades vegetales.,"Corpoica Carmín 0328 y Corpoica Rosa C. :nuevas variedades de guayaba con alto rendimiento y calidad nutricional e industrial.
https://repository.agrosavia.co/items/720fba66-363d-4712-9eba-5e632057e381","Variedad de guayaba Corpoica Carmín 0328
Variedad de guayaba Corpoica Rosa-C.",Material de siembra.,8,9,Finalizado,"Diversificación varietal del sistema productivo.
Aumento del rendimiento de fruta fresca por unidad de área.
Potencial nutricional (Fuente de vitamina C).","Consolidación de mercado procesado.
Reducción de pérdidas económicas.","Seguridad ambiental y nutricional.
Salud y nutrición púlica.",Reducción de impactos negativos por uso excesivo de pesticidas.,"Valle de Cauca, Cauca, Caldas y Risaralda","La Unión, Bolívar, Roldanillo, Toro, Yotoco, Yumbo, Jamundí, Restrepo, La Victoria, Candelaria, Cali, Palmira, Florida, Bugalagrande, Trujillo, Riofrio, Zarzal, Dagua, Calima el Darién, Alcalá, Cartago, Pradera, Buga, Ansermanuevo,
Guachené, Padilla, Miranda, Villa Rica, Caloto, Santander de Quilichao, Puerto Tejada, Mondomo, Corinto,
Chinchiná, Manizales, La Dorada,
Pereira.",Agricultores,600,800,Subregión del valle geografico del río Magdalena,NA,Con registro,Entes Nacionales y Territoriales, $  185.000.000 ,2018,2019,Finalizado,Producción clonal sistemática,Mejoramiento genético (perennes y transitorios),Registro de cultivares
Bioeconomía: Prácticas de agricultura sostenible,Guayaba,Material de siembra y mejoramiento genético,Estudio de la adaptación de cultivares comerciales y regionales de guayaba para uso industrial y consumo en fresco en diferentes zonas agroecológicas de Colombia,Eberto Rodríguez Henao,Líder,AGROSAVIA,NA,NA,Excasa oferta varietal de guayaba y bajo rendimiento y calidad de fruta para atender mercados nacionales y territoriales.,Identificar clones de guayaba con atributos sobresalientes para el mercado nacional con enfoque territorial para los principales nucleos productivos de Colombia.,"Identificar clones sobresalientes de guayaba adaptados a los principales núcleos productivos de Colombia, fortaleciendo la competitividad regional y la denominación de origen de la guayaba común de la Hoya del Río Suárez.","PECTIA, MEC, MER.",Programa de mejoramiento genético de la guayaba en Colombia desarrollada por AGROSAVIA. ,"Color de fruta, rendimiento, SST.",Investigación,Identificación preliminar de 20 árboles elite de guayaba (10 de pulpa blanca y 10 de pulpa rosada) para su clonación y conformación de una variedad multiclonal para su posterior registro ante el ICA. ,Clones de guayaba preseleccionados.,NA,NA,Variedades vegetales,1,2,En proceso.,Unificación del componente genético de la guayaba regional roja y regional blanca de la Hoya del río Suarez.,Fortalecimiento de mercados de bocadillo con denominación de origen.,Fortalecimiento de la denominación de origen de la guayaba RR y RB.,Reducción de pesticidas al unificar respuesta de variedad multiclonal.,Boyaca y Santander.,"Barbosa, Velez.",Agricultores,NA,NA,Hoya del río Suarez.,NA,Sin PI,Entes Nacionales y Territoriales, $  175.000.000 ,2019,2019,Cerrado,Modelamiento genotipo × ambiente,Fenotipado agronómico sistemático,Protocolos técnicos por genotipo
Bioeconomía: Prácticas de agricultura sostenible,Guayaba,Material de siembra y mejoramiento genético,Material de siembra con calidad de las Variedades de guayaba AGROSAVIA Carmín 0328 y AGROSAVIA Rosa-C,Eberto Rodríguez Henao,Líder,AGROSAVIA,NA,NA,Falta de documentación precisa y metodica sobre la clonación de la guayaba.,Definir un procedimiento claro y preciso sobre la tecnica de injertación de la guayaba.,Definición de procedimientos estandarizados para la producción de material de siembra con calidad.,"PECTIA, MEC, MER.",Clonación vegetal mediante la tecnica de injertación en púa terminal.,"Porcentaje de prendimiento, desarrollo de brotes clonales.",Desarrollo,Tecnica de injertación en púa terminal validada y documentada.,Manual,Producción clonal de material de siembra de guayabo mediante la técnica de injertación en púa terminal. https://repository.agrosavia.co/handle/20.500.12324/37364,"Producción de material de siembra de guayabo a través de injertación por púa terminal.
https://www.agrosavia.co/productos-y-servicios/oferta-tecnol%C3%B3gica/l%C3%ADnea-agr%C3%ADcola/frutales/recomendaciones-protocolos-y-metodolog%C3%ADas/823-producci%C3%B3n-clonal-de-material-de-siembra-de-guayabo-mediante-la-t%C3%A9cnica-de-injertaci%C3%B3n-en-p%C3%BAa-terminal",Protocolos,4,9,Finalizado,"La propagación clonal de material de siembra de guayabo permite perpetuar o conservar los atributos de interés agroindustrial de manera que los productores (agricultores y procesadores de fruta) pueden predecir el comportamiento productivo del guayabo. Asimismo, este procedimiento contribuye de manera significativa al uso de material de siembra con calidad (genética, física, fisiológica y fitosanitaria) al garantizar el control y trazabilidad de todos estos aspectos en el proceso de propagación.
","mediante la clonación del material de siembra de guayabo, se mantienen las características de las variedades o cultivares sobresalientes, cómo calidad nutricional, calidad agroindustrial y alta producción, que son la apuesta de valor del sistema productivo, en comparación a cultivos establecidos con plantas propagadas por semilla sexual donde esas características destacadas se pierden debido al alto grado de desuniformidad de los cultivos. Adicionalmente, la implementación de la técnica de injertación en púa terminal favorece la propagación clonal de plantas con calidad genética, física, fisiológica y fitosanitaria, reflejado, a su vez, en un mayor porcentaje de prendimiento del injerto disminuyendo la pérdida de plántulas en fase de vivero. ","contribuye al fortalecimiento de los sistemas locales de semilla, brindando conocimientos técnicos del proceso de producción y multiplicación clonal de semilla de guayabo a través de la técnica de injertación en púa terminal que con su uso e implementación se contribuye a la disponibilidad de material de siembra de calidad.","La propagación clonal con la técnica de injertación en púa terminal, genera material de siembra de guayabo de calidad y este es uno de los principios fundamentales para establecer cultivos con mejor adaptabilidad, una reacción conocida a la presencia de plagas y enfermedades, lo que implica una disminución en el uso de plaguicidas, además de favorecer prácticas de manejo eficientes del agua y el suelo, contribuyendo a las sostenibilidad de los recursos.   ",Nacional,Municipios donde se produzca plantas de guayabo,Viveristas,"Plantas con calidad genetica, fisica, fisiologica y sanitaria",Agricultores,Viveros registrados ante el ICA,NA,Con registro,Entes Nacionales y Territoriales, $  25.000.000 ,2023,2023,Finalizado,Producción clonal sistemática,Producción y escalamiento de semilla,Producción de material vegetal de alta calidad
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de sistemas productivos,"Producto Parcial 25. Fase 1: Lotes experimentales seleccionados y aplicada primera poda de producción, para validación del manejo de la estacionalidad de la producción en guayaba.   Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de sistemas productivos,"Técnicas  validadas para el manejo de estacionalidad en guayaba a través de plan de podas, fertilización y riego. Fase 2: Primer ciclo de evaluación. Fase 3: Segundo ciclo de evaluación. Valle - Santander.  Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de sistemas productivos,Densidades de siembra adecuadas a zonas agroecológicas y a variedades regionales de guayaba determinadas.   Santander.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de sistemas productivos,"Planes de fertilización en fase de establecimiento, en cultivos de Guayaba evaluados.  Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo ambiental y sostenibilidad,Estrategias para la producción sostenible de guayaba en zonas productoras de Colombia.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de suelos y aguas,Meta 0 (Fase 1:  2018 – 2019). Análisis preliminar de extracción de nutrientes en guayaba.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de suelos y aguas,Meta 1 (Fase 2:  2019 – 2020). Línea base extracción de nutrientes y rangos de suficiencia estimados para ajuste de fertilización en cultivos tecnificados de guayaba.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo ambiental y sostenibilidad,"Meta 2 (Fase 3:  2023 – 2025). Prácticas de manejo integral de la fertilidad (Química, física y biológica) y provisión de servicios ecosistémicos en cultivos de guayaba evaluadas. Fases Establecimiento y Producción.  Lider: Diana Lucia Correa Moreno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Fisiología vegetal y nutrición,Fertilización bajo manejo  de la nutrición por sitio especifico (MNSE) evaluada y validada para el mejoramiento de la productividad en cultivos tecnificados de guayaba.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo ambiental y sostenibilidad,Zonas potenciales para el sistema de producción de guayaba con enfoque territorial y adaptación del cultivo.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo ambiental y sostenibilidad,Sistema de información experto (SE) para los sistemas de producción de la guayaba.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Material de siembra y mejoramiento genético,Tecnologías para la producción de plántulas de guayaba en vivero.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Manejo de sistemas productivos,Modelo de estrategias generado para la producción sostenible de guayaba  basado en criterios de planificación y manejo agronómico del cultivo.  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Guayaba,Fisiología vegetal y nutrición,Sistema de información de índices espectrales de vegetación asociados a estrés abiótico en cultivos de guayaba (Psidium guajava).  Lider: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Lima Acida Tahití,Manejo de suelos y aguas,Convenio 1991. Piloto Tecnológico Análisis Tecnologías Precisión,Liliana Ríos-Rojas,Líder,Agrosavia,"FONTAGRO, INTA Argentina, INIA Chile, INIA Uruguay, ASORUT, Visualiti SAS",Ejecutor,Uso no eficiente del agua en sistemas productivos de importancia económica y social en el Valle del Cauca,"Mejorar la productividad hídrica de cultivos frutales en la condición del norte del Valle del Cauca, utilizando tecnologías de monitoreo 4.0 para la toma de desiciones en tiempo real",,,,"UEA, humedad del suelo, clima, desarrollo del fruto, rendimiento, costos productivos, uso de tecnologías, consumo hídrico, productividad hídrica, ",Investigación,Recomendación para manejo hídrico de 10 cultivos utilizando monitoreo y redes IoT,,,,,,,,,,,,Valle del Cauca,"Roldanillo, La Unión, Toro, Palmira ","pequeños, medianos y grandes productores ",,,,,,Entes Internacionales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Lima Acida Tahití,Manejo de suelos y aguas,"Convenio 2217. Agricultura tropical 4,0: Uso eficiente del agua",Liliana Ríos-Rojas,Líder,Agrosavia,"FONTAGRO, UTM-Ecuador, U.Zamorano-Honduras, ASORUT, Citrivalle, Visualiti SAS",Coejecutor,Uso no eficiente del agua en sistemas productivos de importancia económica y social en el Valle del Cauca,"Mejorar la productividad hídrica de cultivos frutales en la condición del norte del Valle del Cauca, utilizando tecnologías de monitoreo 4.0 para la toma de desiciones en tiempo real",,,,"UEA, humedad del suelo, clima, desarrollo del fruto, rendimiento, costos productivos, uso de tecnologías, consumo hídrico, productividad hídrica, ",Investigación,"Recomendación para manejo hídrico de 4 cultivos utilizando monitoreo, redes IoTe inteligencia artificial ",,,"Manejo hídrico ent iempo real para aguacate, cacao, lima ácida Tahití y papaya
Aplicativo móvil para riego",,4,8,,,,,,Valle del Cauca,"Roldanillo, La Unión, Toro, Palmira ",pequeños productores ,,,,,,Entes Internacionales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Lima Acida Tahití,Fisiología vegetal y nutrición,Convenio S421. Validación de un sensor tipo dendrómetro para fruto,Liliana Ríos-Rojas,Líder,Agrosavia,Visualiti SAS,Coejecutor,"Ausencia de sistemas de medición de la respuesta del fruto al manejo agronómic, en tiempo real",Desarrollo de un dendrómetro para fruto que pueda ser acoplado a sistemas de monitoreo agronómico en tiempo real,,,,"humedad del suelo, clima, desarrollo del fruto, rendimiento, calidad del fruto",Innovación,sensor tipo dendrómetro de fruto,,,sensor tipo dendrómetro de fruto,,5,9,,,,,,Valle del Cauca,Palmira,"pequeños, medianos y grandes productores ",,,,,,En general,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Lima Acida Tahití,Material de siembra y mejoramiento genético,Recomendaciones de  uso para  patrones de  lima ácida Tahití en diferentes zonas del país entregadas,,,,,,,,,,,,,,,,Recomendación para la selección de semilla y manejo agronómico de la nutrición,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Lima Acida Tahití,Manejo de suelos y aguas,Desarrollo de los modelos productivos regionales de cítricos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Lima Acida Tahití,Manejo de suelos y aguas,"Validación y ajuste  de tecnología para el manejo de la nutricion, el riego y la poda en lima ácida Tahití en el Valle del Cauca.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Lima Acida Tahití,Manejo sanitario y fitosanitario,"Desarrollo de los procesos de indexación de material de siembra frente a las principales enfermedades, para el aseguramiento de la sanidad de los cítricos en Colombia.",Nubia Murcia Riaño,Ejecutor,Agrosavia,1.Instituto Colombiano Agropecuario 2.Citriviveros.3. Univalle,1. Gobierno.2.Sociedad Civil Organizada.3:  Insititucion de Educación superior.,"84,4% de contaminacion de CTV, Ausencia de metodologias de diagnóstico estandarizada para HLB, dispersión de la enfermedad por movimiento de plantas contaminadas","Desarrollar metodologías de indexación de enfermedades virales, bacterianas y viroidales en material de propagación de citricos.","Mejorar la sanidad del material de propagación fortaleciendo el programa de certificación de cítricos,y  la productividad de los huertos.","Conpes 3514 del 2008, establece los lineamientos sobre la Politica Nacional Fitosanitaria y de Inocuidad para las cadenas de frutas y Hortalizas y de otros vegetales, y que en el componente de sanidad vegetal tiene incluido el mejoramiento de la calidad fitosanitaria del material de propagación en frutas.","Tecnica ELISA con anticuerpos policlonales para CTV(Moreno et al., 2008), RT-PCR para diagnóstico de viroides (Alcántara-Mendoza et al., 2017), PCR para HLB (Teixeira et al., 2005).","Concentración ng/ul, límite de detección, exactitud, precisión, índice de desempeño analítico.",Investigación,"1. 17 cultivares de cítricos en categoría genética evaluados libres de CTV, HSVd, 2. Diseño metodológico definido para muestreo de enfermedades en vivero.3. Estandarización de los parámetros analíticos para Candidatus L. asiaticus por qPCR.","1. Técnica molecular qPCR, 2. Metodologia de indexación biológica del viroide HSVd en Cidro etrog (Citrus medica L.), 3. Diseño metodológico para plan de muestreo de enfermedades en vivero.","Modelo productivo de lima ácida Tahití (Citrus × latifolia Tanaka ex Q. Jiménez) para Colombia. Mosquera, Colombia: Corporación Colombiana de Investigación Agropecuaria (AGROSAVIA).2020.",,Resultado de investigación ,1,5,Investigación,"Disponibilidad de protocolos moleculares estandarizados para CTV,HSVd y HLB. ",25%> Producción de huertos sanos. ,Mejoramiento del estado fitosanitario para el sector viveristas y promover la asociatividad en las regiones.,"Disminución del uso de productos quimicos e insumos en condiciones protegidas, No se genera el vertimiento de contaminantes al suelo.",Valle del Cauca,"Palmira,Andalucía, La Unión, Caicedonia,Sevilla.",Sector viverista de citricos,Viveristas con registro 12816 del ICA,"Extensionistas Agropecuarios, productores de cítricos pequeños, medianos y grandes inicialmente de los departamentos del Valle del Cauca, Tolima. Estudiantes y docentes universitarios.",Zonas productoras de material de propagación certificado de lima Acida tahiti  a nivel nacional,NA,No aplica,Entes Nacionales y Territoriales,80000012,2019,2020,Finalizado,,Indexación de enfermedades,
Inclusión social en el desarrollo tecnológico: Apropiación social del conocimiento desde la ciencia ciudadana y la ciencia comunitaria,Lima Acida Tahití,"Transf. de tecnologia, asist. técnica e innovación","Convenio derivado No. 3, Líneas Epidemiología y modelos para la mitigación de plagas, del convenio marco interadministrativo no. GGC- 017-2023,.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Limón Pajarito,Manejo ambiental y sostenibilidad,Reducción del riesgo y adaptación al cambio climático_Modelos de adaptación agroclimática (MAPA). Limón pajárito (Citrus aurantifolia). Facilitadora Regional MAPA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Lima Acida Tahití,Material de siembra y mejoramiento genético,Cultivares y patrones de cítricos adaptados a diferentes núcleos productivos en Colombia. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía:  Biodiversidad,Lima Acida Tahití,Material de siembra y mejoramiento genético,Evaluación participativa de cítricos promisorios para su uso como copas o patrones en los principales núcleos de producción.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sector privado,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Lima Acida Tahití,Material de siembra y mejoramiento genético,"Fortalecer el programa nacional de conservación y multiplicación del material vegetal de cítricos en las categorías genética, básica y registrada como estrategia de prevención fitosanitaria al HLB para garantizar la continuidad del programa de certificación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Internacionales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Maracuya,Manejo sanitario y fitosanitario,Desarrollo de componentes de manejo integrado de Dasiops inedulis (Diptera: Lonchaeidae) en maracuyá en el Valle del Cauca.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
"Seguridad alimentaria, nutricional y salud humana y animal",Maracuya,Manejo sanitario y fitosanitario,Evaluación y selección de genotipos élite maracuyá ,,,,Universidad Nacional,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI:Productividad agrícola agroambientalmente eficiente e integralmente sostenible,Maracuya,Material de siembra y mejoramiento genético,Evaluación y selección de genotipos élite maracuyá ,,,,Universidad Nacional,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Melón,Manejo ambiental y sostenibilidad,Reducción del riesgo y adaptación al cambio climático_Modelos de adaptación agroclimática (MAPA). Melón (Cucumis melo B). Facilitadora Regional MAPA: Diana Lucia Correa Moreno,,,,Universidad Nacional,,,,,,,,,,,,,,,,,,,,,Valle del Cauca,,Asociación de productores,,,,,,Entes Nacionales y Territoriales,,,,,,,
ACI: Adaptación y resiliencia de los sistemas productivos agropecuarios frente a condiciones de clima cambiante,Mora,Manejo ambiental y sostenibilidad,Reducción del riesgo y adaptación al cambio climático_Modelos de adaptación agroclimática (MAPA). Mora (Rubus glaucus B). Facilitadora Regional MAPA: Diana Lucia Correa Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Naranjas,Manejo sanitario y fitosanitario,"Validación de estrategias de manejo de poblaciones de Compsus viridivitattus, y ácaros como aporte del componente entomológico a la construcción del modelo productivo en cítricos.   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
Bioeconomía: Prácticas de agricultura sostenible,Naranjas,Manejo sanitario y fitosanitario,"Manejo de viveros y bases tecnológicas para la certificación genética, fisiológica y sanitaria",Nubia Murcia Riaño,Ejecutor,Agrosavia,"1. Instituto Colombiano Agropecuario, 2. Citriviveros.",1.Gobierno.2.Sociedad Civil,"Presencia de enfermedades sistémicas como tristeza, exocortis, psorosis,Caquexia, leprosis además de enfermedades catastróficas como HLB , que afectan el manejo hortícola en vivero, calidad genética y fitosanitaria.","Desarrollar las bases tecnológicas para la certificación genética, fisiológica y sanitaria del material de siembra de cítricos","Determinación de la identidad genética, el estado sanitario y la caracterización morfológica y fisiológica del material de propagación de cítricos comerciales.","Conpes 3514 del 2008, establece los lineamientos sobre la Politica Nacional Fitosanitaria y de Inocuidad para las cadenas de frutas y Hortalizas y de otros vegetales, y que en el componente de sanidad vegetal tiene incluido el mejoramiento de la calidad fitosanitaria del material de propagación en frutas.","Indice de semillas,método gravimétrico (Hong & Ellis, 1995),Evaluación de CTV,  DAS Elisa con anticuerpos policlonales(Garnsey y cambra ,1991).Evaluacion biologica mediante infección de plantas de Cidro Etrog clon Arizona 861S1. Huella genética con marcadores moleculares microsatélites fluoromarcados Froelicher et al. (2008), Snoussi et al. (2012) y García (2013). ","1. Porcentaje de germinación, curva de imbibición, 2. Desarrollo de sintomas en planta indicadora.3 Índice de área foliar (IAF), tasa de crecimiento relativo (TCR), Tasa de crecimiento del cultivo (TCC) y Tasa de asimilación neta (TAN).4. ",Investigación,"1. Una Recomendación de conservación de semillas de seis portainjertos de cítricos. 2. Selección de un sustrato para el desarrollo de seis portainjertos.3.Un protocolo definido para diferenciación genética de  naranjas, mandarinas, limas acidas, con marcadores moleculares microsatélites  SSR.4. Una colección de  variedades de cítricos comerciales evaluadas frente a las enfermedades Virus de la tristeza(CTV), Exocortis. ",Un Manual sobre Produccion de material de siembra de citricos en condiciones protegidas. ,"Cartilla: Prácticas de manejo sostenible para el cultivo de cítricos. Mosquera, Colombia; Corporación Colombiana de Investigación Agropecuaria (Agrosavia). (2019). Manual. Bases tecnológicas para la producción de material de siembra de
alta calidad de las especies cítricas para Colombia.  (2022).
https://doi.org/10.21930/agrosavia.Manual.7405682..Articulo cientifico:  Genetic differentiation of cultivated citrus fruits (Citrus spp.) in Colombia using SSR molecular markers. Agrociencia. https://doi. org/ 10.47163/agrociencia. v58i2.2950.2024",Recomendaciones tecnológicas para la producción de plantas de cítricos para viveros con condiciones protegidas de casa de malla ,Recomendaciones tecnológicas,1,6,Investigación,1. Recomendación para procesamiento y almacenamiento de semilla de portainjertos de citricos. 2. Recomendacion de un Sustrato para desarrollo de portainjertos en vivero protegido.3. Protocolo para diferenciacion genetica de citricos usando marcadores moleculares.,"Plantas con excelente desarrollo y calidad (física, genética y fitosanitaria) desde la fase de vivero para reflejar el potencial máximo de producción y calidad de la fruta en el cultivo.  Menor tiempo de desarrollo de los patrones en vivero para establecimiento en campo.","Los viveristas distribuyen material de propagación sano, para reemplazar huertos improductivos afectados por HLB, CTV; CEVd."," Monitoreo continuo de plagas para hacer uso racional de los insecticidas, uso eficiente de agua.Uso de subproductos agroindustriales en el proceso productivo.","Valle del Cauca, Santander, Tolima, Cundinamarca, Huila, Antioquia, Quindio, Risaralda, Caldas.","Palmira,Andalucía, La Unión, Caicedonia,Sevilla. Lebrija, Girón, Rionegro, pie de cuesta, San Gil, Socorro, Calarcá, la tebaida, Quimbaya,Pereira,Mariquita, Armero guayabal, Guamo, Espinal, Tamesis,, Pitalito, Gigante y Garzón,",Asociaciones de viveristas,Viveristas con registro 12816 del ICA,"Extensionistas Agropecuarios, productores de cítricos pequeños, medianos y grandes a nivel nacional. Practicantes SENA",Zonas productoras de material de propagación de citricos certificado a nivel nacional,NA,,Entes Nacionales y Territoriales,10266799,2015,2016,Finalizado,Diagnóstico y caracterización de patógenos,Indexación de enfermedades,Integración investigación + transferencia
Bioeconomía: Prácticas de agricultura sostenible,Naranjas,Manejo sanitario y fitosanitario,Evaluación de entomopatógenos y productos químicos para el control de Diaphorina citri Kuwayama (Hemiptera: Liviidae) y estudios biológicos de D. citri y su enemigo natural principal Tamarixia radiata (Waterston) (Hymenoptera: Eulophidae).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entes Nacionales y Territoriales,,,,,,,
